,station_lat,station_lon,poi_name,poi_lat,poi_lon
0,41.40902,2.195415,Els Tres Porquets,41.407088,2.192979
1,41.40902,2.195415,Hangar,41.408581,2.199539
2,41.40902,2.195415,Parc del Clot,41.407833,2.190267
3,41.40902,2.195415,Daniel Café,41.404462,2.193379
4,41.40902,2.195415,Parc del Centre del Poblenou,41.406713,2.20153
5,41.40902,2.195415,El Menjador de la Beckett,41.404701,2.199454
6,41.40902,2.195415,Tapa Tapa,41.404793,2.191588
7,41.40902,2.195415,Bodega Sopena,41.407881,2.188106
8,41.40902,2.195415,Ametller Origen,41.403978,2.19773
9,41.40902,2.195415,La Clotenca,41.407759,2.188045
10,41.40902,2.195415,Kalamata,41.403926,2.198457
11,41.40902,2.195415,Tutu Vietnamese Cuisine,41.407149,2.187735
12,41.40902,2.195415,Restaurante el Clot,41.408795,2.187516
13,41.40902,2.195415,Sopa,41.402411,2.195277
14,41.40902,2.195415,Little Fern,41.402328,2.197571
15,41.40902,2.195415,Club de Tennis i Pàdel CEM Olímpia,41.413537,2.202507
16,41.40902,2.195415,Recasens,41.40234,2.199762
17,41.40902,2.195415,Mammamia,41.402671,2.200081
18,41.40902,2.195415,Cerveseria l'Alternativa,41.405009,2.203152
19,41.40902,2.195415,Cruixent BCN,41.401818,2.200703
20,41.40902,2.195415,Bodega Carol,41.406971,2.184857
21,41.40902,2.195415,Baluard Barceloneta,41.402418,2.20146
22,41.40902,2.195415,BRKLYN Torrefaction,41.405842,2.205885
23,41.40902,2.195415,Balius Bar,41.402179,2.201564
24,41.40902,2.195415,Papa Johns Pizza,41.407592,2.205292
25,41.40902,2.195415,La Tavernícola,41.400358,2.197944
26,41.40902,2.195415,He Cheng,41.407946,2.184297
27,41.40902,2.195415,La Picantería de l'Escribà,41.402087,2.202046
28,41.40902,2.195415,D'Clot,41.40957,2.184292
29,41.40902,2.195415,Chocolat-Box,41.401421,2.201029
30,41.40902,2.195415,El Quinto,41.400216,2.196273
31,41.40902,2.195415,Catalunya,41.40841,2.204803
32,41.40902,2.195415,Furnos,41.401813,2.202434
33,41.40902,2.195415,Jardins de Josep Trueta,41.404134,2.205044
34,41.40902,2.195415,Komkal,41.413218,2.205436
35,41.40902,2.195415,Herraiz Soto y Asociados,41.400394,2.192822
36,41.40902,2.195415,Bar Siberia,41.411154,2.206196
37,41.40902,2.195415,Domino's Pizza,41.406973,2.20528
38,41.40902,2.195415,Eurocatalana,41.411799,2.204263
39,41.40902,2.195415,Parroquia Sagrado Corazon,41.41277,2.205434
40,41.43546,2.200157,Garage Beer Co,41.435291,2.196972
41,41.43546,2.200157,Decathlon la Maquinista,41.439672,2.197387
42,41.43546,2.200157,La Maquinista,41.44015,2.197932
43,41.43546,2.200157,Massimo Dutti,41.440103,2.197983
44,41.43546,2.200157,La Burguesa,41.439933,2.199028
45,41.43546,2.200157,Nike,41.439558,2.198084
46,41.43546,2.200157,Apple la Maquinista,41.440494,2.198333
47,41.43546,2.200157,Bar Torrente,41.433045,2.193419
48,41.43546,2.200157,Jack & Jones,41.439881,2.197644
49,41.43546,2.200157,Starbucks,41.441927,2.198533
50,41.43546,2.200157,Sephora,41.440071,2.198308
51,41.43546,2.200157,Farmacia Ormad & clicfarma.com,41.435657,2.204545
52,41.43546,2.200157,La Tagliatella,41.440583,2.198379
53,41.43546,2.200157,Five Guys la Maquinista,41.441056,2.198693
54,41.43546,2.200157,Fnac,41.44056,2.198743
55,41.43546,2.200157,Avis,41.431177,2.192244
56,41.43546,2.200157,Foster's Hollywood,41.440734,2.198077
57,41.43546,2.200157,Pastelería Buenavista,41.442223,2.20004
58,41.43546,2.200157,Mango,41.442698,2.200206
59,41.43546,2.200157,Hollister Co,41.440821,2.198272
60,41.43546,2.200157,VIPS la Maquinista,41.442745,2.200155
61,41.43546,2.200157,Casa del Libro,41.442698,2.200206
62,41.43546,2.200157,La Aguja del Dru Sll,41.433902,2.20584
63,41.43546,2.200157,Casa Arana,41.435409,2.189268
64,41.43546,2.200157,The Body Shop,41.442745,2.200155
65,41.43546,2.200157,BMW Barcelona,41.432008,2.210833
66,41.43546,2.200157,Bar Frankfurt An & Mont,41.436506,2.20671
67,41.43546,2.200157,Casa Ametller,41.432317,2.189206
68,41.43546,2.200157,Estadi Narcís Sala - UE Sant Andreu,41.428821,2.192933
69,41.43546,2.200157,Several cafè,41.432596,2.189196
70,41.43546,2.200157,Springfield,41.440991,2.198283
71,41.43546,2.200157,Ramon Auto,41.44076,2.201408
72,41.43546,2.200157,Parc Fluvial del Besòs,41.437006,2.211262
73,41.43546,2.200157,Enrique Tomás,41.442698,2.200206
74,41.43546,2.200157,Restaurante,41.443,2.202642
75,41.43546,2.200157,La Virgueria,41.430228,2.195079
76,41.43546,2.200157,Restuc,41.429361,2.203006
77,41.43546,2.200157,Quintela Serveis Integrals per a Hostelería,41.428738,2.200503
78,41.43546,2.200157,Contra Colados Garce,41.428756,2.200965
79,41.43546,2.200157,El Bunyolet Artesa,41.428686,2.200175
80,41.43546,2.200157,Bar los Alpes,41.430302,2.194266
81,41.43546,2.200157,Forn de Pa,41.430149,2.194587
82,41.43546,2.200157,Restaurante Balmes,41.431594,2.207532
83,41.43546,2.200157,Laurendor,41.441161,2.205682
84,41.43546,2.200157,Orchestra BARCELONA,41.442571,2.200075
85,41.43546,2.200157,Wok You,41.443107,2.201017
86,41.43546,2.200157,Metalmalla & Beico,41.431738,2.20949
87,41.43546,2.200157,Goomax Europa - Goomax Metal,41.441744,2.206883
88,41.43546,2.200157,Pintados Especiales,41.430506,2.208788
89,41.43546,2.200157,Valle Industrial,41.429661,2.208058
90,41.445046,2.176726,Marquesina Vía Julia,41.443452,2.178472
91,41.445046,2.176726,Castell de Torre Baró,41.448196,2.173903
92,41.445046,2.176726,La Freidu,41.442408,2.17835
93,41.445046,2.176726,Ateneu Popular de Nou Barris,41.44862,2.180072
94,41.445046,2.176726,Centre D´Atencio Primaria Roquetes,41.445989,2.173762
95,41.445046,2.176726,Plaça d'Ángel Pestaña,41.441637,2.179843
96,41.445046,2.176726,El Camarote,41.4429,2.182142
